Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Otto Porter Jr.,SF,30,TOR,15,174,8.7,3.7,14.8,9.2,5.8,1.4,2.5,8.9,0.1,0.1,0.3,0.07,-3.5,0.3,-3.2,-0.1,0,0,0,2024
Bobby Portis,PF,28,MIL,82,2008,17.5,7.9,24.8,16.6,7.8,1.6,1.4,22.9,2.1,2.6,4.7,0.112,0.0,-0.8,-0.8,0.6,0,0,0,2024
Kristaps Porziņģis,C,28,BOS,57,1690,23.2,6.5,19.1,13.1,10.0,1.2,5.8,25.1,4.9,3.0,7.9,0.226,3.5,1.6,5.1,3.0,0,0,0,2024
Micah Potter,PF,25,UTA,16,186,11.0,6.0,19.4,12.7,4.2,1.0,2.9,10.9,0.2,0.1,0.3,0.075,-1.4,-0.9,-2.3,0.0,0,0,0,2024
Dwight Powell,C,32,DAL,63,836,14.5,12.7,15.2,14.0,12.4,1.5,2.1,9.1,2.2,0.9,3.1,0.181,-1.1,0.8,-0.3,0.4,0,0,0,2024
Norman Powell,SG,30,LAC,76,1990,13.9,0.9,9.8,5.5,5.9,1.1,1.0,20.0,2.8,1.3,4.1,0.099,0.4,-1.2,-0.8,0.6,0,0,0,2024
Jason Preston,PG,24,UTA,7,71,10.5,9.4,16.9,13.2,28.7,1.4,1.3,12.4,0.0,0.0,0.0,0.026,-2.5,-0.1,-2.6,0.0,0,0,0,2024
Joshua Primo,SG,21,LAC,2,10,-12.8,11.7,0.0,5.6,0.0,0.0,9.0,30.7,-0.1,0.0,-0.1,-0.585,-16.8,-8.2,-25.0,-0.1,0,0,0,2024
Taurean Prince,PF,29,LAL,78,2108,8.8,1.2,10.5,6.1,7.2,1.3,1.4,13.8,0.3,1.7,1.9,0.043,-2.6,-0.2,-2.8,-0.4,0,0,0,2024
Payton Pritchard,PG,26,BOS,82,1825,15.3,4.3,11.1,7.8,20.7,1.1,0.3,17.2,4.2,1.9,6.1,0.16,1.3,-0.2,1.0,1.4,0,0,0,2024
Olivier-Maxence Prosper,PF,21,DAL,40,336,11.6,8.2,17.5,12.8,8.4,1.0,1.0,16.6,0.2,0.3,0.5,0.076,-1.7,-1.3,-2.9,-0.1,0,1,0,2024
Trevelin Queen,SG,26,ORL,14,165,8.3,2.1,12.2,7.1,14.5,2.1,2.8,13.3,-0.1,0.3,0.2,0.056,-4.7,1.4,-3.4,-0.1,0,0,0,2024
Neemias Queta,C,24,BOS,28,333,22.9,17.9,21.5,19.8,8.5,1.9,5.5,16.9,1.1,0.7,1.8,0.259,0.4,1.1,1.5,0.3,0,0,0,2024
Lester Quinones,SG,23,GSW,37,394,10.3,5.8,13.8,9.9,12.0,0.7,0.5,18.3,0.3,0.3,0.6,0.068,-2.0,-1.3,-3.3,-0.1,0,0,0,2024
Jahmi'us Ramsey,SG,22,TOR,7,121,10.6,3.6,16.7,10.0,9.1,2.8,0.0,17.9,-0.1,0.1,0.1,0.021,-3.9,-0.5,-4.4,-0.1,0,0,0,2024
Julius Randle,PF,29,NYK,46,1630,18.9,6.8,22.4,14.6,22.8,0.8,0.7,29.9,1.9,1.9,3.8,0.113,2.2,-0.3,1.9,1.6,0,0,0,2024
Duop Reath,C,27,POR,68,1214,15.1,8.1,15.4,11.5,8.9,1.3,2.8,20.7,1.4,1.0,2.4,0.095,-0.2,-0.7,-0.9,0.3,0,1,0,2024
Austin Reaves,SG,25,LAL,82,2629,15.5,2.5,11.9,7.4,23.5,1.2,0.8,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6,0,0,0,2024
Cam Reddish,SF,24,LAL,48,984,7.7,3.2,7.7,5.6,6.0,2.3,1.2,12.7,-0.3,0.9,0.6,0.03,-4.0,0.8,-3.2,-0.3,0,0,0,2024
Paul Reed,C,24,PHI,82,1590,17.4,13.2,20.9,16.9,9.8,2.1,4.8,15.9,2.5,2.6,5.1,0.154,-0.6,1.0,0.4,0.9,0,0,0,2024
Naz Reid,C,24,MIN,81,1964,16.0,4.4,19.3,12.2,8.3,1.6,3.3,23.1,1.1,3.8,4.9,0.12,0.4,1.1,1.5,1.7,0,0,0,2024
Jared Rhoden,SG,24,DET,17,245,10.3,1.3,13.9,7.5,8.0,0.6,4.5,13.3,0.1,0.2,0.3,0.06,-2.9,0.4,-2.5,0.0,0,0,0,2024
