Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Patrick Beverley,SG,29,LAC,11,334,12.4,5.3,9.4,7.4,13.8,2.8,1.3,19.6,0.1,0.3,0.4,0.056,-0.3,0.8,0.5,0.2,0,0,0,2018
Khem Birch,C,25,ORL,42,578,16.4,13.2,21.1,17.1,8.5,1.3,2.9,13.2,1.2,0.6,1.8,0.15,-0.7,-0.2,-0.9,0.2,0,1,0,2018
Jabari Bird,SG,23,BOS,13,115,12.1,5.8,12.2,9.0,10.5,1.3,0.7,15.4,0.1,0.2,0.2,0.098,-2.7,-0.4,-3.1,0.0,0,1,0,2018
Bismack Biyombo,C,25,ORL,82,1495,14.1,10.5,24.0,17.2,6.5,0.7,5.1,14.9,1.1,1.8,2.9,0.094,-2.6,0.2,-2.4,-0.2,0,0,0,2018
Nemanja Bjelica,PF,29,MIN,67,1371,12.6,4.4,18.8,11.5,8.7,1.8,1.0,14.3,1.7,1.1,2.8,0.097,-0.1,0.2,0.1,0.7,0,0,0,2018
Tarik Black,C,26,HOU,51,536,14.3,13.4,20.9,17.1,3.7,1.9,4.8,15.6,0.5,1.0,1.5,0.136,-3.7,1.2,-2.6,-0.1,0,0,0,2018
Antonio Blakeney,SG,21,CHI,19,314,10.1,1.3,10.3,5.6,10.1,1.1,0.3,23.7,-0.2,0.1,0.0,-0.006,-2.8,-2.4,-5.2,-0.3,0,1,0,2018
Vander Blue,SG,25,LAL,5,45,-1.8,0.0,2.3,1.2,8.2,1.1,0.0,8.4,-0.1,0.0,-0.1,-0.103,-7.6,-0.7,-8.4,-0.1,0,0,0,2018
Bogdan Bogdanović,SG,25,SAC,78,2175,13.5,1.6,10.5,5.8,18.3,1.7,0.7,19.6,1.8,1.1,2.9,0.064,-0.6,-0.9,-1.5,0.3,0,1,1,2018
Bojan Bogdanović,SF,28,IND,80,2464,13.9,1.4,10.9,6.2,7.1,1.1,0.3,19.0,3.8,1.6,5.4,0.105,0.5,-1.2,-0.7,0.8,0,0,0,2018
Andrew Bogut,C,33,LAL,24,216,10.9,12.9,25.4,19.2,9.1,0.9,4.9,8.8,0.1,0.3,0.4,0.094,-4.7,1.9,-2.8,-0.1,0,0,0,2018
Joel Bolomboy,PF,24,MIL,6,38,11.7,18.6,12.3,15.4,0.0,2.6,0.0,12.6,0.0,0.0,0.1,0.079,-2.6,-2.4,-5.0,0.0,0,0,0,2018
Devin Booker,SG,21,PHO,54,1865,18.1,1.5,12.7,7.0,24.4,1.2,0.6,31.7,1.9,0.6,2.4,0.063,2.9,-2.0,0.9,1.4,0,0,0,2018
Chris Boucher,PF,25,GSW,1,1,-28.5,0.0,100.0,55.9,0.0,0.0,0.0,43.9,0.0,0.0,0.0,-0.899,-21.7,-11.4,-33.1,0.0,0,1,0,2018
Tony Bradley,C,20,UTA,9,29,9.5,15.8,27.1,21.5,5.0,0.0,0.0,18.4,0.0,0.0,0.0,0.033,-3.0,-4.5,-7.5,0.0,0,1,0,2018
Malcolm Brogdon,PG,25,MIL,48,1436,14.3,1.9,10.8,6.4,16.3,1.4,0.8,19.1,2.0,0.7,2.7,0.091,-0.1,-1.0,-1.2,0.3,0,0,0,2018
Aaron Brooks,PG,33,MIN,32,189,9.8,4.2,6.2,5.2,15.1,1.6,0.0,19.9,0.1,0.1,0.1,0.033,-2.6,-1.3,-3.8,-0.1,0,0,0,2018
Dillon Brooks,SF,22,MEM,82,2350,9.8,2.4,10.5,6.3,9.3,1.6,0.7,18.5,0.1,1.1,1.2,0.024,-2.9,-1.1,-4.0,-1.2,0,1,0,2018
MarShon Brooks,SG,29,MEM,7,193,26.1,4.7,8.0,6.3,25.9,2.9,1.5,29.8,0.6,0.2,0.7,0.179,7.5,-0.4,7.1,0.4,0,0,0,2018
Anthony Brown,SF,25,MIN,1,4,41.9,0.0,0.0,0.0,41.7,0.0,0.0,11.1,0.0,0.0,0.0,0.571,26.2,4.3,30.5,0.0,0,0,0,2018
Bobby Brown,PG,33,HOU,20,115,5.5,0.0,6.8,3.4,15.0,1.7,0.0,26.1,-0.3,0.1,-0.2,-0.08,-4.9,-2.3,-7.2,-0.2,0,0,0,2018
Jaylen Brown,SG,21,BOS,70,2152,13.6,3.4,14.0,8.8,8.5,1.6,1.0,21.4,1.2,3.2,4.5,0.1,-0.8,0.3,-0.5,0.8,0,0,0,2018
Lorenzo Brown,PG,27,TOR,14,139,8.2,0.8,11.1,6.0,12.4,1.8,0.0,11.9,0.0,0.1,0.2,0.06,-3.9,1.5,-2.5,0.0,0,0,0,2018
Markel Brown,SG,26,HOU,4,31,-1.2,3.7,14.4,9.1,8.7,0.0,0.0,12.8,-0.1,0.0,0.0,-0.063,-8.8,-2.0,-10.8,-0.1,0,0,0,2018
Sterling Brown,SG,22,MIL,54,776,9.1,4.1,17.5,10.8,4.5,2.0,1.4,14.0,0.0,0.7,0.7,0.043,-2.8,-0.2,-3.1,-0.2,0,1,0,2018
Nicolás Brussino,SF,24,ATL,4,10,-4.6,0.0,33.5,16.7,0.0,0.0,0.0,8.7,0.0,0.0,0.0,-0.18,-8.1,-3.2,-11.3,0.0,0,0,0,2018
Thomas Bryant,C,20,LAL,15,72,9.9,4.5,20.5,12.6,11.5,0.7,2.3,15.9,0.0,0.1,0.1,0.05,-3.1,-0.2,-3.3,0.0,0,1,0,2018
Reggie Bullock,SF,26,DET,62,1732,13.6,1.7,8.3,4.9,8.4,1.4,0.7,15.7,2.8,1.4,4.2,0.117,0.7,0.0,0.7,1.2,0,0,0,2018
Trey Burke,PG,25,NYK,36,785,21.0,1.8,8.2,5.0,36.4,1.5,0.4,25.1,2.0,0.3,2.4,0.145,3.9,-1.4,2.5,0.9,0,0,0,2018
Alec Burks,SG,26,UTA,64,1059,13.1,2.1,18.4,10.3,10.0,1.8,0.6,22.5,0.2,1.6,1.9,0.084,-1.3,0.4,-0.9,0.3,0,0,0,2018
Jimmy Butler,SG,28,MIN,59,2164,23.7,4.2,12.7,8.4,20.6,2.7,1.0,24.9,7.1,1.8,8.9,0.198,5.0,0.7,5.8,4.2,1,0,0,2018
Dwight Buycks,PG,28,DET,29,427,12.8,3.0,7.7,5.3,22.4,2.2,0.4,26.4,-0.2,0.4,0.2,0.027,-2.3,-0.7,-3.1,-0.1,0,0,0,2018
José Calderón,PG,36,CLE,57,914,11.3,1.7,8.5,5.2,17.4,1.4,0.2,11.6,1.5,0.3,1.8,0.095,-1.4,-0.5,-1.9,0.0,0,0,0,2018
Kentavious Caldwell-Pope,SG,24,LAL,74,2458,13.2,2.6,14.1,8.4,9.4,2.1,0.5,16.9,2.6,2.7,5.3,0.103,-0.4,0.6,0.3,1.4,0,0,0,2018
Clint Capela,C,23,HOU,74,2034,24.5,13.5,30.8,22.2,5.7,1.4,5.7,19.4,6.2,4.1,10.2,0.242,2.4,1.0,3.4,2.8,0,0,0,2018
DeMarre Carroll,PF,31,BRK,73,2180,14.3,5.1,18.4,11.7,10.5,1.3,1.0,19.8,2.3,1.8,4.1,0.091,0.5,-0.4,0.2,1.2,0,0,0,2018
Vince Carter*,SF,41,SAC,58,1026,10.8,1.9,15.1,8.2,9.7,2.1,2.4,14.7,0.3,0.9,1.2,0.056,-1.9,0.7,-1.2,0.2,0,0,0,2018
